$\bar{x}$,$medx$,$Z_r$,$Z_q$,$Z_t_r$
Laplace n = 10

$E(z)$,0.0095,0.0075,0.01,0.3061,0.0088
$D(z)$,0.1037,0.074,0.4203,0.1233,0.0721

Laplace n = 100

$E(z)$,0.001,0.0014,-0.0006,0.0139,0.0005
$D(z)$,0.0097,0.0055,0.4158,0.0095,0.006

Laplace n = 1000

$E(z)$,-0.0005,0.0001,-0.0167,0.0015,0.0002
$D(z)$,0.0011,0.0006,0.3893,0.0011,0.0007

