$\bar{x}$,$medx$,$Z_r$,$Z_q$,$Z_t_r$
Uniform n = 10

$E(z)$,-0.006,-0.014,0.0027,0.3088,-0.0116
$D(z)$,0.0977,0.2282,0.039,0.1281,0.1617

Uniform n = 100

$E(z)$,-0.0031,-0.0116,-0.0006,0.016,-0.0055
$D(z)$,0.0106,0.0293,0.0006,0.016,0.0205

Uniform n = 1000

$E(z)$,0.0011,0.0023,0.0,0.0023,0.0014
$D(z)$,0.001,0.0029,0.0,0.0014,0.0019

